"index","id","case number","date","block","iucr","primary type","description","location description","arrest","domestic","beat","district","ward","community area","fbi code","latitude","longitude","reference_date"
"0","9446824","HX100141","01/01/2014 02:00:00 AM","0000X W ILLINOIS ST","0460","BATTERY","SIMPLE","STREET","False","False","1831","18","42.0","8.0","08B","41.890828047","-87.630234746","2014-01-01"
"1","9446748","HX100020","01/01/2014 12:00:00 AM","006XX N DEARBORN ST","0890","THEFT","FROM BUILDING","BAR OR TAVERN","False","False","1832","18","42.0","8.0","06","41.893541578","-87.629701805","2014-01-01"
"2","9446758","HX100030","01/01/2014 12:30:00 AM","052XX W RACE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","False","False","1523","15","28.0","25.0","14","41.890046233","-87.756333158","2014-01-01"
"3","9446760","HX100027","01/01/2014 12:30:00 AM","053XX W WELLINGTON AVE","0460","BATTERY","SIMPLE","APARTMENT","True","False","2514","25","31.0","19.0","08B","41.935011125","-87.759739272","2014-01-01"
"4","9446764","HX100054","01/01/2014 12:10:00 AM","014XX W LEXINGTON ST","0460","BATTERY","SIMPLE","STREET","False","False","1231","12","25.0","28.0","08B","41.872508972","-87.663069212","2014-01-01"
"5","9446765","HX100013","01/01/2014 12:03:00 AM","064XX S ROCKWELL ST","143A","WEAPONS VIOLATION","UNLAWFUL POSS OF HANDGUN","RESIDENTIAL YARD (FRONT/BACK)","True","False","825","8","15.0","66.0","15","41.776780469","-87.688465418","2014-01-01"
"6","9446768","HX100076","01/01/2014 12:10:00 AM","016XX N MENARD AVE","1477","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","RESIDENCE","False","False","2531","25","29.0","25.0","15","41.910165043","-87.770310914","2014-01-01"
"7","9446769","HX100061","01/01/2014 01:00:00 AM","064XX S CENTRAL PARK AVE","2022","NARCOTICS","POSS: COCAINE","SIDEWALK","True","False","823","8","13.0","65.0","18","41.77583207","-87.71309304","2014-01-01"
"8","9446770","HX100039","01/01/2014 12:30:00 AM","002XX S LOCKWOOD AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","STREET","True","False","1522","15","29.0","25.0","18","41.87786538","-87.757599414","2014-01-01"
"9","9446774","HX100101","01/01/2014 01:19:00 AM","026XX E 78TH ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","True","False","421","4","7.0","43.0","18","41.753638069","-87.559191655","2014-01-01"
